"Gene","AGM.4.lfc","Cyno.4.lfc","AGM.7.lfc","Cyno.7.lfc","AGM.10.lfc","AGM.≥14/Term.lfc","Cyno.≥14/Term.lfc","AGM.4.padj","Cyno.4.padj","AGM.7.padj","Cyno.7.padj","AGM.10.padj","AGM.≥14/Term.padj","Cyno.≥14/Term.padj"
"ABCA6",0.00341978492732427,-0.0422996752722496,-4.1022159921862e-07,0.122106128786636,-2.4189194165275e-06,0.0510731722909068,-0.0330338822157897,0.237153593713668,0.508680419450864,0.237153593713668,0.508680419450864,0.237153593713668,0.237153593713668,0.508680419450864
"ABCA7",-0.0152720943656095,0.574531288225069,-2.88814072574159e-06,0.519102625516352,4.02760518997518e-07,0.300947283322543,1.01758168908178,0.0915238190621771,0.0429853932059171,0.0915238190621771,0.0429853932059171,0.0915238190621771,0.0915238190621771,0.0429853932059171
"ABCA8",0.00126953356125777,-0.0257796995972621,-2.5672561460498e-07,-0.102249291277809,-5.00641599460164e-07,-0.109878548553416,-0.00749090022374214,0.725191040321335,0.76333412675871,0.725191040321335,0.76333412675871,0.725191040321335,0.725191040321335,0.76333412675871
"ABCA9",0.00676554351673702,0.0852321201860128,-2.85969883147441e-07,0.0526463945243096,-1.99692469399537e-06,0.00266646294251934,-0.0299224699192309,0.704332254561042,0.664653233425925,0.704332254561042,0.664653233425925,0.704332254561042,0.704332254561042,0.664653233425925
"ABCB10",0.0176984675482614,0.133378482980413,8.06205411636322e-07,0.394697752838351,-7.08375472118789e-07,-0.0575992375819135,0.254486344880609,0.90572518527758,0.331117994464254,0.90572518527758,0.331117994464254,0.90572518527758,0.90572518527758,0.331117994464254
"ABCB11",-0.0112187049332612,-0.381166491055119,-1.6306348792247e-06,-0.380269979048733,-2.42707828600553e-06,-0.177071205911612,-0.755998754424072,0.368519560956664,0.134306799547695,0.368519560956664,0.134306799547695,0.368519560956664,0.368519560956664,0.134306799547695
"ABCB4",0.00446041253304366,-0.0783392378763881,-3.2730045782111e-06,-0.0678195376565549,-1.07589017634487e-06,-0.0404171503791003,-0.421070132755085,0.871865305793461,0.584277030655457,0.871865305793461,0.584277030655457,0.871865305793461,0.871865305793461,0.584277030655457
"ABCB5",-0.0185770482360514,0.0229827170363407,-3.06331225143817e-06,0.0491380740460707,-3.82096884920828e-07,-0.0970908815664169,-0.309744750880034,0.670666712364821,0.304006126653326,0.670666712364821,0.304006126653326,0.670666712364821,0.670666712364821,0.304006126653326
"ABCB6",-0.00406659747518554,0.339467555563532,-1.74195703637863e-06,0.585840546291067,5.37609209647947e-07,-0.148826206348349,0.529344027631007,0.529636717887096,0.0999511684936864,0.529636717887096,0.0999511684936864,0.529636717887096,0.529636717887096,0.0999511684936864
"ABCB7",0.00452617570645758,-0.572658641573158,8.14358955272355e-06,-0.465003612615763,4.78029848384883e-07,0.0154647643513298,-0.57617050649666,0.905588574776234,0.00247030772800686,0.905588574776234,0.00247030772800686,0.905588574776234,0.905588574776234,0.00247030772800686
"ABCB8",0.00355795191064323,0.351286865542017,-4.05214691174391e-07,0.269641440036773,5.11321977670304e-07,0.0862609285172944,0.960813668259746,0.974315469535946,0.0500362584075569,0.974315469535946,0.0500362584075569,0.974315469535946,0.974315469535946,0.0500362584075569
"ABCB9",-0.00586501657498211,0.0974386454266578,-2.57820508699099e-06,0.0287002910565823,2.45620471326885e-06,0.0226544359755631,0.313104938686797,0.874895663864217,0.651316153656385,0.874895663864217,0.651316153656385,0.874895663864217,0.874895663864217,0.651316153656385
"ABCC1",-0.500594107960345,0.252302589556536,-3.41246073467545e-06,0.373025173069519,-3.96626332017046e-06,0.00283311419637247,0.363721950205053,0.0441680924669906,0.312287639916881,0.0441680924669906,0.312287639916881,0.0441680924669906,0.0441680924669906,0.312287639916881
