Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
sample039,0.152750412316199,0,0.0814258562846232,0,0.644959508516992,0,0.124593316292755,0,0.105381574408942,0.00233595255812251,0.656015194325214,0,0.0889763361139325,0.00801969822209269,0,0.0184903697897709,0,0.148187722556504,0.0683655371123476,0,0,0.350133406858515,0,0.819349088070552,0.651696660119616,2.44963488535601
sample040,0.101362144805016,0,0.111164838914363,0,0.902948679840327,0,0.183099292253241,0,0.0597963090992813,0,0.491067712512163,0,0,0,0,0,0,0.20065102927456,0.0330973709376898,0.0809594174489299,0.0159780231239034,0.571614307639612,0,0.789299780364937,0.675357680615801,2.75173912584909
sample041,0.0533856641674374,0,0.141484362364195,0.0775301774679038,0.688444643832269,0.281119059692909,0.28810935382224,0,0,0.00680299846458737,0.722618272521156,0,0.0174630737408431,0.0270510528288425,0,0,0.0152213737831798,0.0943755926543653,0.0191763316631095,0,0.00855105746060566,0.188406224238875,0,0.798479748610109,0.649820958492718,2.62973923870252
sample042,0,0.0533038214459701,0.232300458928655,0.416144851219333,0.327597514689267,0.0946187940032662,0.0693629895990002,0.00777522079455094,0,0,0.764892910376817,0,0.0975667086028624,0,0,0.0356018525907233,0,0.288508703134503,0,0.0171733433977805,0,0.118422827779531,0,0.853969889293522,0.603397655744733,2.52326999656226
sample043,0,0,0.234830101954238,0.393996053956346,0.221151227478325,0.109856079337624,0.2180474617744,0,0,0,0.9080140282708,0,0.0304846102293532,0,0,0.054477592149799,0,0.229058921779098,0.001185662303194,0,0,0.163163174447017,0,0.842393045470211,0.602907064532688,2.56426491368019
sample044,0.0252627882895372,0,0.109608846652409,0.561458850618571,0.167423699232479,0.137930859236681,0.148447537651544,0.0439636101985066,0,0,0.913155920551758,0,0.030171213681886,0,0,0.0379372093545923,0,0.188484897693687,0.0428999174060401,0,0,0.147889138532937,0,0.858461574231145,0.568810963327626,2.55463448910063
sample045,0.140847056356487,0,0.108999132764183,0.281460157565265,0.678029832720698,0,0.0761537443886827,0,0.165353942109393,0,0.676520887907901,0,0,0.0651309862318979,0,0.0219341461390998,0,0.0839114464751724,0,0.026303022970922,0.00944716877084736,0.168777777139295,0,0.850531780379986,0.595066713484225,2.50286930153984
sample046,0.0365388136858624,0,0.161063439126849,0.153101448100759,0.763739313073419,0,0.208392506611854,0,0.0280993408686132,0.00276985633969107,0.774500476142461,0,0,0.015967734786389,0,0.0415309514471807,0.00990849738486106,0.101579209832161,0.0337937129455106,0,0.0296545836885264,0.246507925514444,0,0.82869461445136,0.626626641472213,2.60714780954858
sample047,0,0.0469694339175414,0.212597374812667,0.375756996798736,0.491827508212199,0.023032375790598,0.175397869705924,0,0,0,0.86230926449959,0,0.103733314642086,0,0,0,0,0.19924062143959,0.0148078300452892,0.00344044064407704,0.00575977434052385,0.181643002067746,0,0.827463706147326,0.622755565445387,2.69651580691657
sample048,0.02579106056064,0,0.178415800958626,0.351577590728663,0.40304907449333,0,0.233787317689447,0,0,0,0.975845724972166,0,0.0140715030952617,0,0,0.0327780819936813,0,0.175486005690836,0.075743306090827,0,0,0.137899684823899,0,0.845440993140375,0.595092454157026,2.60444515109738
