"Gene","lfc","padj","Significant","Regulation","Species","Daterange"
"ADGRG6",0.0690548643575872,0.907104016295108,FALSE,"None","Cyno","4"
"ADGRG7",-0.00833581690902963,0.773252768096622,FALSE,"None","Cyno","4"
"ADGRL2",0.0260520774396212,0.917377891576089,FALSE,"None","Cyno","4"
"ADGRL3",0.0818419918337172,0.515961165194189,FALSE,"None","Cyno","4"
"ADGRL4",-0.182842717576258,0.270779224353779,FALSE,"None","Cyno","4"
"ADGRV1",-0.0565471110630718,0.690509738612083,FALSE,"None","Cyno","4"
"ADH1A",0.0173630837466917,0.169823505457095,FALSE,"None","Cyno","4"
"ADH1B",0.00337245037856478,0.337558008177291,FALSE,"None","Cyno","4"
"ADH4",0.0811297255462456,0.518307276005722,FALSE,"None","Cyno","4"
"ADH5",-0.174145800981819,0.226365558135581,FALSE,"None","Cyno","4"
"ADH6",0.04652633135138,0.714648729485056,FALSE,"None","Cyno","4"
"ADHFE1",0.088158281607601,0.550245528643427,FALSE,"None","Cyno","4"
"ADI1",0.0697325663068869,0.045426943993373,FALSE,"None","Cyno","4"
"ADIPOQ",0.0205961750228701,0.592886049644724,FALSE,"None","Cyno","4"
"ADIPOR1",0.125960511455675,0.840308553155922,FALSE,"None","Cyno","4"
"ADIPOR2",-0.0750691695733119,0.551342593705267,FALSE,"None","Cyno","4"
"ADIRF",0.012685977959742,0.647143373884281,FALSE,"None","Cyno","4"
"ADISSP",0.0234810957280155,0.395699370608978,FALSE,"None","Cyno","4"
"ADK",-0.295734200477253,0.0408892318539304,FALSE,"None","Cyno","4"
"ADM",0.165026683972394,0.217314368578939,FALSE,"None","Cyno","4"
"ADNP",-0.357434985411309,0.00391170172420458,FALSE,"None","Cyno","4"
"ADO",0.172874738057021,0.0123691659769103,FALSE,"None","Cyno","4"
"ADORA1",-0.0210609956080165,0.0451566779199791,FALSE,"None","Cyno","4"
"ADORA2A",0.55890595802181,0.00801715524991043,FALSE,"None","Cyno","4"
"ADORA2B",-0.139583475374204,0.825860985885782,FALSE,"None","Cyno","4"
"ADPRH",0.00209530352578471,0.806613352847447,FALSE,"None","Cyno","4"
"ADPRHL1",0.171539435004961,0.376764245111241,FALSE,"None","Cyno","4"
"ADPRM",-0.675006280912184,0.0339546985579428,FALSE,"None","Cyno","4"
"ADPRS",0.226114695472318,0.0879574865969406,FALSE,"None","Cyno","4"
"ADRA1A",0.056172912353285,0.782577672997531,FALSE,"None","Cyno","4"
"ADRA1B",0.122495285825818,0.802207408662241,FALSE,"None","Cyno","4"
"ADRA1D",-0.00269577405969727,0.102241349494765,FALSE,"None","Cyno","4"
"ADRA2B",-0.00751468691620542,0.907840603619998,FALSE,"None","Cyno","4"
"ADRB2",-0.211604587065133,0.71606491955442,FALSE,"None","Cyno","4"
"ADRM1",0.19658250230339,0.279134227590286,FALSE,"None","Cyno","4"
"ADSL",0.128840000048542,0.42738822829709,FALSE,"None","Cyno","4"
"ADSS",-0.51666828783798,0.0759633571929867,FALSE,"None","Cyno","4"
"ADSS1",0.0777553500782168,0.146138660164843,FALSE,"None","Cyno","4"
"ADTRP",0.0266066953832339,0.291808438473938,FALSE,"None","Cyno","4"
"AEBP1",0.965436670682761,0.0490241420968876,FALSE,"None","Cyno","4"
"AEBP2",-0.0509274267042446,0.779038309929526,FALSE,"None","Cyno","4"
"AEN",0.0708750567654185,0.183420040103716,FALSE,"None","Cyno","4"
"AFAP1",0.191839313174419,0.157007097657955,FALSE,"None","Cyno","4"
"AFAP1L1",0.191570306199174,0.170080404875598,FALSE,"None","Cyno","4"
"AFDN",-0.0425847947991916,0.844369331285852,FALSE,"None","Cyno","4"
"AFF1",0.0930081710465498,0.836621967917473,FALSE,"None","Cyno","4"
"AFF2",0.00367861261689337,0.294839274798497,FALSE,"None","Cyno","4"
"AFF3",0.0538974594235325,0.0991864134821239,FALSE,"None","Cyno","4"
"AFG1L",-0.365361009957773,0.0856110070341194,FALSE,"None","Cyno","4"
"AFG2A",-0.502801212842109,0.0228820734372874,FALSE,"None","Cyno","4"
"AFG2B",-0.500203331739554,0.172951492261738,FALSE,"None","Cyno","4"
"AFG3L2",0.0638046876814713,0.795680080143978,FALSE,"None","Cyno","4"
"AFMID",0.298270266625218,0.13856918380026,FALSE,"None","Cyno","4"
"AFTPH",-0.409338543777453,6.63780238889553e-05,FALSE,"None","Cyno","4"
"AGA",-0.32799909880494,0.431051684170581,FALSE,"None","Cyno","4"
"AGAP2",0.505833117552052,0.0011050578537499,FALSE,"None","Cyno","4"
"AGAP3",0.151552111027482,0.814178571242477,FALSE,"None","Cyno","4"
"AGBL1",-0.0537008091145682,0.629386499560682,FALSE,"None","Cyno","4"
"AGBL2",-0.0297364376175565,0.935516480793622,FALSE,"None","Cyno","4"
"AGBL3",-0.398719922858614,0.185096525206143,FALSE,"None","Cyno","4"
"AGBL4",0.0266412772289921,0.171111045784044,FALSE,"None","Cyno","4"
"AGBL5",0.0372734608738859,0.845367283887994,FALSE,"None","Cyno","4"
"AGER",0.364831360509544,0.0962156915897232,FALSE,"None","Cyno","4"
"AGFG1",-0.341637180159649,0.0071836243979696,FALSE,"None","Cyno","4"
"AGFG2",0.439341660279228,0.00251371821534716,FALSE,"None","Cyno","4"
"AGGF1",-0.401448997712761,0.0678047679748358,FALSE,"None","Cyno","4"
"AGK",-0.231943012463512,0.279901297383142,FALSE,"None","Cyno","4"
"AGL",-0.400454142758145,0.0815883521326951,FALSE,"None","Cyno","4"
"AGMAT",0.0393842161157392,0.846189726576674,FALSE,"None","Cyno","4"
"AGMO",0.0356180617445361,0.0755787051965014,FALSE,"None","Cyno","4"
