"Gene","lfc","padj","Significant","Regulation","Species","Strain","Daterange"
"ADD2",-0.0240358645223554,0.964651362930054,FALSE,"None","Cyno","9530537","4"
"ADD3",-0.00939847695958469,0.982400667324593,FALSE,"None","Cyno","9530537","4"
"ADGB",0.152986069744684,0.724133089050722,FALSE,"None","Cyno","9530537","4"
"ADGRA2",-0.136539634675693,0.741545713607173,FALSE,"None","Cyno","9530537","4"
"ADGRA3",-0.100830144885212,0.802638161701511,FALSE,"None","Cyno","9530537","4"
"ADGRB2",-2.16932434108797,3.46383919172849e-05,TRUE,"Down","Cyno","9530537","4"
"ADGRB3",-0.907647505012907,0.0206244166253955,FALSE,"None","Cyno","9530537","4"
"ADGRD1",-0.0291149202045704,0.950928716049889,FALSE,"None","Cyno","9530537","4"
"ADGRE1",-0.0445022909644516,0.927178122906678,FALSE,"None","Cyno","9530537","4"
"ADGRE2",0.0882551296610463,0.845597643845607,FALSE,"None","Cyno","9530537","4"
"ADGRE5",0.235906186100145,0.494922431286754,FALSE,"None","Cyno","9530537","4"
"ADGRF3",0.114494427511431,0.800325333580163,FALSE,"None","Cyno","9530537","4"
"ADGRF5",0.0585434873248247,0.858059587929142,FALSE,"None","Cyno","9530537","4"
"ADGRG1",-0.195470286406717,0.618279928819036,FALSE,"None","Cyno","9530537","4"
"ADGRG2",-0.242275472478217,0.358640844843406,FALSE,"None","Cyno","9530537","4"
"ADGRG3",0.121376193820814,0.783936653210541,FALSE,"None","Cyno","9530537","4"
"ADGRG4",0.0391617287988785,0.905971313801625,FALSE,"None","Cyno","9530537","4"
"ADGRG5",-0.759357680415478,0.00294914132309856,FALSE,"None","Cyno","9530537","4"
"ADGRG6",-0.216835171459012,0.571249036152812,FALSE,"None","Cyno","9530537","4"
"ADGRG7",-0.0302254311047588,0.952568840763951,FALSE,"None","Cyno","9530537","4"
"ADGRL2",-0.0343851319899447,0.949782504418011,FALSE,"None","Cyno","9530537","4"
"ADGRL3",-0.0454432930351677,0.927782351001666,FALSE,"None","Cyno","9530537","4"
"ADGRL4",0.477826588658831,0.234215888101833,FALSE,"None","Cyno","9530537","4"
"ADGRV1",0.143126190810009,0.74174132032369,FALSE,"None","Cyno","9530537","4"
"ADH1A",-0.0495629143432485,0.786678706228783,FALSE,"None","Cyno","9530537","4"
"ADH1B",-0.0827503765862204,0.854901519181191,FALSE,"None","Cyno","9530537","4"
"ADH4",-0.210778017057855,0.321374966507311,FALSE,"None","Cyno","9530537","4"
"ADH5",-0.125205161936353,0.619225796652839,FALSE,"None","Cyno","9530537","4"
"ADH6",-0.12548270134628,0.208545005019677,FALSE,"None","Cyno","9530537","4"
"ADHFE1",-0.0990989879608493,0.831141097359885,FALSE,"None","Cyno","9530537","4"
"ADI1",0.0156881257595678,0.966851649760296,FALSE,"None","Cyno","9530537","4"
"ADIPOQ",0.186988125697233,0.45061584661561,FALSE,"None","Cyno","9530537","4"
"ADIPOR1",-0.0219860237776081,0.96811155017179,FALSE,"None","Cyno","9530537","4"
"ADIPOR2",-0.216340008055184,0.295765636262959,FALSE,"None","Cyno","9530537","4"
"ADIRF",-0.00327405311603137,0.987967965833916,FALSE,"None","Cyno","9530537","4"
"ADISSP",0.809721198063436,0.0129646714464763,FALSE,"None","Cyno","9530537","4"
"ADK",-0.755727726845468,0.00110442716928727,FALSE,"None","Cyno","9530537","4"
